FECHA_VACUNACION,ASTRAZENECA,JANSSEN,MODERNA,PFIZER,SINOPHARM
2020-11-17,0,0,0,0,21
2020-11-18,0,0,0,0,10
2020-11-19,0,0,0,0,10
2020-11-20,2,0,0,0,16
2020-11-21,3,0,0,0,29
2020-11-23,2,0,0,0,17
2020-11-24,2,0,0,0,20
2020-11-25,7,0,0,0,21
2020-11-26,0,0,0,0,25
2020-11-27,5,0,0,0,17
2020-11-28,3,0,0,0,17
2020-11-30,0,0,0,0,22
2020-12-01,3,0,0,0,21
2020-12-02,3,0,0,0,21
2020-12-03,0,0,0,0,17
2020-12-04,4,0,0,0,13
2020-12-05,0,1,0,0,25
2020-12-07,1,0,0,0,17
2020-12-09,2,1,0,0,18
2020-12-10,1,0,0,0,19
2020-12-11,4,0,0,0,27
2020-12-12,2,0,0,0,0
2020-12-14,2,0,0,0,0
2020-12-15,7,0,0,0,0
2020-12-16,3,0,0,0,6
2020-12-17,7,0,0,0,21
2020-12-18,4,0,0,0,31
2020-12-19,7,0,0,0,36
2020-12-20,1,0,0,0,0
2020-12-21,10,0,0,0,17
2020-12-22,13,0,0,0,13
2020-12-23,8,0,0,0,15
2020-12-24,7,0,0,0,1
2020-12-26,17,0,0,0,26
2020-12-28,18,0,0,0,18
2020-12-29,9,0,0,0,3
2020-12-30,3,0,0,0,10
2021-01-02,1,0,0,0,22
2021-01-04,7,0,0,0,11
2021-01-05,2,0,0,0,7
2021-01-06,0,0,0,0,5
2021-01-07,2,0,0,0,2
2021-01-08,2,0,0,0,11
2021-01-09,6,0,0,0,14
2021-01-10,0,0,0,0,1
2021-01-11,3,0,0,0,2
2021-01-12,2,0,0,0,20
2021-01-13,7,0,0,0,11
2021-01-14,3,0,0,0,12
2021-01-15,5,0,0,0,20
2021-01-16,2,0,0,1,9
2021-01-17,3,0,0,0,0
2021-01-18,9,0,0,0,8
2021-01-19,12,0,0,0,8
2021-01-20,3,0,0,0,4
2021-01-21,7,0,0,0,4
2021-01-22,2,0,0,0,1
2021-01-23,4,0,0,0,2
2021-01-24,5,0,0,0,0
2021-01-25,6,0,0,0,1
2021-01-26,8,0,0,0,0
2021-01-27,5,0,0,0,2
2021-01-28,4,0,0,0,3
2021-01-29,4,0,0,0,2
2021-01-30,0,0,0,0,2
2021-02-01,0,0,0,0,1
2021-02-02,0,0,0,0,10
2021-02-03,0,0,0,0,11
2021-02-04,0,0,0,0,13
2021-02-05,0,0,0,0,12
2021-02-06,0,0,0,0,5
2021-02-07,1,0,0,11,6
2021-02-08,1,0,1,20,12
2021-02-09,0,0,0,5,3755
2021-02-10,4,0,0,19,16608
2021-02-11,0,0,0,9,34126
2021-02-12,0,0,0,8,32378
2021-02-13,0,0,0,42,18872
2021-02-14,0,0,0,5,5282
2021-02-15,3,0,0,9,11482
2021-02-16,0,0,0,21,7517
2021-02-17,0,0,1,6,3947
2021-02-18,0,0,0,11,7406
2021-02-19,0,0,0,10,30543
2021-02-20,0,0,0,14,26127
2021-02-21,0,0,0,1,4558
2021-02-22,0,0,0,8,30471
2021-02-23,0,0,0,20,27254
2021-02-24,1,0,0,31,22889
2021-02-25,0,0,0,13,15812
2021-02-26,0,0,0,1,15642
2021-02-27,0,0,0,54,6766
2021-02-28,0,0,1,21,998
2021-03-01,2,0,0,19,9293
2021-03-02,0,0,0,18,9259
2021-03-03,1,0,0,37,18440
2021-03-04,0,0,0,21,33015
2021-03-05,0,0,0,13,36958
2021-03-06,0,0,0,13,20027
2021-03-07,0,0,0,22,2596
2021-03-08,1,0,0,14693,15972
2021-03-09,1,0,0,15711,11421
2021-03-10,3,0,0,8830,9197
2021-03-11,6,0,0,3866,10610
2021-03-12,2,0,0,3846,22683
2021-03-13,0,0,0,3290,32457
2021-03-14,0,0,0,418,3010
2021-03-15,0,0,0,15143,32848
2021-03-16,0,0,0,20780,26845
2021-03-17,0,0,0,20887,25989
2021-03-18,1,0,0,24804,18048
2021-03-19,1,0,0,23980,17530
2021-03-20,0,0,0,17129,7441
2021-03-21,0,0,0,636,1082
2021-03-22,1,0,0,6555,10907
2021-03-23,0,0,0,14491,10465
2021-03-24,0,0,0,13227,8854
2021-03-25,0,0,0,11657,6120
2021-03-26,1,0,0,14678,6730
2021-03-27,0,0,0,9786,4634
2021-03-28,0,0,0,1869,437
2021-03-29,0,0,0,11243,6172
2021-03-30,2,0,0,18704,7929
2021-03-31,0,0,0,14624,10644
2021-04-01,2,0,0,3623,3166
2021-04-02,5,0,0,2718,1242
2021-04-03,4,0,0,4917,3987
2021-04-04,0,0,0,505,1096
2021-04-05,2,0,0,3880,12704
2021-04-06,0,0,0,13551,16894
2021-04-07,1,0,0,15060,15856
2021-04-08,2,0,0,30875,14978
2021-04-09,1,0,0,18379,16685
2021-04-10,2,0,0,8655,4370
2021-04-11,0,0,0,42,72
2021-04-12,3,0,0,11874,2287
2021-04-13,1,0,0,20008,2014
2021-04-14,5,0,0,20866,2566
2021-04-15,2,0,0,21778,1634
2021-04-16,1,0,0,38724,2864
2021-04-17,5,0,0,42344,1939
2021-04-18,1,0,0,30948,165
2021-04-19,0,0,0,9502,1486
2021-04-20,13,0,0,14046,2383
2021-04-21,1,0,0,13743,6403
2021-04-22,964,0,0,7609,2220
2021-04-23,666,0,0,26606,1745
2021-04-24,1164,0,0,26100,2890
2021-04-25,10,0,0,15118,572
2021-04-26,8550,0,0,6347,4988
2021-04-27,12227,0,0,6759,11570
2021-04-28,17384,0,0,20556,13450
2021-04-29,21300,0,0,21988,14350
2021-04-30,19542,0,0,62082,17988
2021-05-01,6686,0,0,56934,2562
2021-05-02,1996,0,0,45341,1745
2021-05-03,11227,0,0,49313,3806
2021-05-04,9347,0,0,13935,1132
2021-05-05,9385,0,0,12468,3256
2021-05-06,8945,0,0,30916,1465
2021-05-07,8513,0,0,39127,731
2021-05-08,4400,0,0,79273,230
2021-05-09,667,0,0,58143,15
2021-05-10,4152,0,0,51514,939
2021-05-11,5474,0,0,49192,692
2021-05-12,12574,0,0,55188,1379
2021-05-13,12243,0,0,68622,1017
2021-05-14,12574,0,0,95461,936
2021-05-15,7315,0,0,66981,735
2021-05-16,2647,0,0,35545,11
2021-05-17,6310,0,0,52917,280
2021-05-18,4995,0,0,64066,476
2021-05-19,5285,0,0,73183,2251
2021-05-20,3569,0,0,81383,1835
2021-05-21,6351,0,0,155381,1514
2021-05-22,4354,0,0,125486,1936
2021-05-23,1789,0,0,86406,749
2021-05-24,5825,0,0,115972,527
2021-05-25,4820,0,0,95151,1593
2021-05-26,4226,0,0,90160,1761
2021-05-27,3394,0,0,112279,1803
2021-05-28,6339,0,0,145481,749
2021-05-29,2873,0,0,128154,613
2021-05-30,667,0,0,64939,22
2021-05-31,1473,0,0,109686,1356
2021-06-01,1487,0,0,111522,791
2021-06-02,2355,0,0,111577,866
2021-06-03,2645,0,0,62103,971
2021-06-04,2045,0,0,34850,913
2021-06-05,546,0,0,20223,569
2021-06-06,146,0,0,2002,41
2021-06-07,1098,0,0,30153,296
2021-06-08,21795,0,0,196446,231
2021-06-09,28162,0,0,179070,281
2021-06-10,40892,0,0,189797,826
2021-06-11,37619,0,0,187555,1244
2021-06-12,24846,0,0,139894,192
2021-06-13,10517,0,0,73263,630
2021-06-14,23466,0,0,85699,6122
2021-06-15,18203,0,0,95550,18063
2021-06-16,14689,0,0,91432,9437
2021-06-17,13308,0,0,123299,4785
2021-06-18,12263,0,0,157688,5316
2021-06-19,7085,0,0,102879,4815
2021-06-20,1281,0,0,31221,1083
2021-06-21,7391,0,0,95658,10166
2021-06-22,11478,0,0,119847,10908
2021-06-23,8737,0,0,110554,10168
2021-06-24,8686,0,0,65729,12005
2021-06-25,7697,0,0,110685,9417
2021-06-26,4050,0,0,73086,5494
2021-06-27,2895,0,0,46374,2158
2021-06-28,6565,0,0,41804,8283
2021-06-29,6370,0,0,91644,3235
2021-06-30,6182,0,0,172850,3944
2021-07-01,3734,0,0,194919,3905
2021-07-02,3288,0,0,198116,7319
2021-07-03,3733,0,0,188275,6320
2021-07-04,1452,0,0,131405,3372
2021-07-05,3227,0,0,175561,9921
2021-07-06,4004,0,0,168277,42495
2021-07-07,6719,0,0,136540,29342
2021-07-08,10793,0,0,132109,16839
2021-07-09,9407,0,0,136094,19095
2021-07-10,8038,0,0,238660,22628
2021-07-11,4017,0,0,173797,3793
2021-07-12,10287,0,0,84217,13266
2021-07-13,10949,0,0,84834,16772
2021-07-14,11379,0,0,110932,27662
2021-07-15,9129,0,0,158967,32696
2021-07-16,6832,0,0,159285,62976
2021-07-17,4773,0,0,228285,76801
2021-07-18,2285,0,0,130312,46472
2021-07-19,4107,0,0,66363,28340
2021-07-20,3739,0,0,57406,42656
2021-07-21,3303,0,0,102849,53749
2021-07-22,3997,0,0,123031,67821
2021-07-23,3903,0,0,152159,93014
2021-07-24,2951,0,0,289342,96876
2021-07-25,1747,0,0,260260,46694
2021-07-26,2633,0,0,28632,46927
2021-07-27,3050,0,0,202536,50349
2021-07-28,1878,0,0,100264,14346
2021-07-29,1920,0,0,50638,12881
2021-07-30,2635,0,0,126924,37041
2021-07-31,1970,0,0,232730,42015
2021-08-01,861,0,0,191133,17923
2021-08-02,1977,0,0,124622,22927
2021-08-03,2476,0,0,103481,34368
2021-08-04,2163,0,0,109946,50060
2021-08-05,2655,0,0,109254,61062
2021-08-06,2509,0,0,111339,171940
2021-08-07,3341,0,0,174452,320059
2021-08-08,2563,0,0,159610,201293
2021-08-09,2826,0,0,45131,58260
2021-08-10,7489,0,0,49388,67986
2021-08-11,5997,0,1,57834,56563
2021-08-12,5142,0,0,51971,61361
2021-08-13,5238,0,0,42730,70378
2021-08-14,4533,0,0,157447,73429
2021-08-15,1677,0,0,156079,40004
2021-08-16,4959,3,0,33043,42614
2021-08-17,6257,1,0,24712,70282
2021-08-18,7072,0,0,19124,63708
2021-08-19,5322,0,0,20833,76308
2021-08-20,7647,0,0,36111,107727
2021-08-21,8836,0,0,121801,187009
2021-08-22,9771,0,0,82991,139800
2021-08-23,7997,0,0,34036,39303
2021-08-24,8447,1,0,22011,47204
2021-08-25,4322,0,0,31730,55891
2021-08-26,2999,0,0,27396,76998
2021-08-27,2614,0,0,62342,109370
2021-08-28,3648,0,0,132876,328063
2021-08-29,2163,0,0,113849,293687
2021-08-30,2430,0,0,4849,10849
2021-08-31,3125,0,0,24672,92707
2021-09-01,2640,0,0,32276,119054
2021-09-02,1856,0,0,55599,129076
2021-09-03,1491,0,0,75648,138052
2021-09-04,1518,0,0,91279,273137
2021-09-05,1616,0,0,46199,224374
2021-09-06,1669,0,0,32831,107279
2021-09-07,6423,0,0,46847,160649
2021-09-08,6766,0,0,91770,255779
2021-09-09,2058,0,0,117191,231574
2021-09-10,3267,0,0,146815,265153
2021-09-11,2749,0,0,244932,355888
2021-09-12,2241,0,0,186119,303723
2021-09-13,1281,0,0,68737,140899
2021-09-14,1101,0,0,136719,164767
2021-09-15,1930,0,0,71055,181124
2021-09-16,10389,0,0,112846,214939
2021-09-17,14449,0,0,96532,197235
2021-09-18,14606,0,0,117693,359490
2021-09-19,10401,0,0,75669,218877
2021-09-20,13822,0,0,25816,92523
2021-09-21,18193,0,0,43861,139704
2021-09-22,18441,0,0,31769,132340
2021-09-23,14886,0,0,27911,127854
2021-09-24,15016,0,0,54883,128315
2021-09-25,25104,0,0,118082,269823
2021-09-26,18628,0,0,52440,257601
2021-09-27,20043,0,0,52731,134126
2021-09-28,14014,0,0,77492,147846
2021-09-29,17666,0,0,101549,193335
2021-09-30,11029,0,0,105033,199784
2021-10-01,12955,0,0,89379,187827
2021-10-02,27875,0,0,229606,320587
2021-10-03,21746,0,0,175201,289139
2021-10-04,16372,0,0,101465,149115
2021-10-05,11898,0,0,123399,162138
2021-10-06,15601,0,0,100485,166669
2021-10-07,11532,0,0,83450,177503
2021-10-08,8921,0,0,77766,125497
2021-10-09,12712,0,0,125444,240473
2021-10-10,7125,0,0,64935,171539
2021-10-11,10811,0,0,39911,130318
2021-10-12,48777,0,0,51601,142208
2021-10-13,46170,0,0,45566,137541
2021-10-14,64780,0,0,60347,101401
2021-10-15,68058,0,0,69824,105521
2021-10-16,111919,0,0,95839,142162
2021-10-17,83474,0,0,86360,119754
2021-10-18,39586,0,0,91069,75744
2021-10-19,34431,0,0,90287,81724
2021-10-20,35334,0,0,76150,70766
2021-10-21,34647,0,0,64093,68863
2021-10-22,28135,0,0,60303,66559
2021-10-23,62407,0,0,85645,112925
2021-10-24,40119,0,0,61987,102168
2021-10-25,22600,0,0,42914,58642
2021-10-26,24436,0,0,37713,56781
2021-10-27,24827,0,0,35084,54583
2021-10-28,35291,0,0,39449,54041
2021-10-29,38492,0,0,46900,45121
2021-10-30,39574,0,0,216268,54885
2021-10-31,33101,0,0,179288,43670
2021-11-01,9987,0,0,74718,20352
2021-11-02,13298,0,0,93563,30092
2021-11-03,20691,0,0,113167,36927
2021-11-04,30394,0,0,174121,38762
2021-11-05,28391,0,0,228003,43911
2021-11-06,41072,0,0,323862,84617
2021-11-07,32773,0,0,213291,76142
2021-11-08,27087,0,0,125079,56001
2021-11-09,44430,0,0,137672,43027
2021-11-10,47210,0,0,126054,43652
2021-11-11,50780,0,0,108992,40003
2021-11-12,48970,0,0,88675,38421
2021-11-13,76146,0,0,121205,55726
2021-11-14,66983,0,0,97529,57356
2021-11-15,50221,0,0,77559,47698
2021-11-16,51879,0,0,82203,62823
2021-11-17,56652,0,0,79481,60106
2021-11-18,51883,0,0,79417,62771
2021-11-19,45671,0,0,81474,67458
2021-11-20,68463,0,0,187238,89753
2021-11-21,52699,0,0,184938,78709
2021-11-22,29886,0,0,121345,56230
2021-11-23,30399,0,0,131780,58112
2021-11-24,27842,0,0,128705,54827
2021-11-25,27266,0,0,168538,52143
2021-11-26,25646,0,0,238850,49976
2021-11-27,32283,0,0,367005,65280
2021-11-28,29313,0,0,281733,60980
2021-11-29,19461,0,0,221452,44318
2021-11-30,18563,0,0,215249,43341
2021-12-01,16155,0,0,210773,47432
2021-12-02,21607,0,0,217592,55007
2021-12-03,22447,0,0,204312,56750
2021-12-04,30445,0,0,235837,71624
2021-12-05,23329,0,0,168604,62746
2021-12-06,20521,0,0,154117,56093
2021-12-07,19082,0,0,154829,63109
2021-12-08,15058,0,0,106040,50996
2021-12-09,22827,0,0,156349,77316
2021-12-10,33399,0,0,185453,127786
2021-12-11,42573,0,0,209226,157948
2021-12-12,33365,0,0,161594,127028
2021-12-13,32608,0,0,153747,123459
2021-12-14,37407,0,0,159128,128419
2021-12-15,37287,0,1,143818,116885
2021-12-16,30890,0,0,121949,87620
2021-12-17,28770,0,0,122210,85204
2021-12-18,27293,0,0,122358,82112
2021-12-19,21668,0,0,97626,62648
2021-12-20,22996,0,0,179085,65456
2021-12-21,23240,0,0,293243,61846
2021-12-22,19489,0,0,262348,55691
2021-12-23,15151,0,0,183750,47476
2021-12-24,4164,0,0,56757,19674
2021-12-25,895,0,0,28900,4660
2021-12-26,6874,0,0,151751,28758
2021-12-27,15450,0,0,242419,57726
2021-12-28,16115,0,0,252516,59656
2021-12-29,15139,0,0,216792,52353
2021-12-30,11676,0,0,159960,47313
2021-12-31,3654,0,0,46921,20351
2022-01-01,856,0,0,19920,5911
2022-01-02,3227,0,0,93328,21288
2022-01-03,6832,0,0,185014,58793
2022-01-04,7049,0,0,206142,63213
2022-01-05,7335,0,0,246207,65833
2022-01-06,8362,0,0,254190,60665
2022-01-07,8890,0,1,255565,58906
2022-01-08,9018,0,0,274636,53907
2022-01-09,5994,0,0,164410,34229
2022-01-10,9391,0,0,215094,56674
2022-01-11,8441,0,0,205454,49430
2022-01-12,8495,0,0,190881,46516
2022-01-13,8285,0,0,198929,42691
2022-01-14,7915,0,0,187469,37322
2022-01-15,8044,0,0,189261,29730
2022-01-16,4544,0,1,109038,19019
2022-01-17,7497,0,0,142407,35816
2022-01-18,6796,0,0,132645,30691
2022-01-19,5981,0,0,129756,29802
2022-01-20,5857,0,0,114189,27721
2022-01-21,5554,0,0,111525,24682
2022-01-22,5240,0,0,123924,21987
2022-01-23,7002,0,0,93079,16027
2022-01-24,11402,0,1,138029,24453
2022-01-25,14793,0,0,139043,22047
2022-01-26,18160,0,0,147712,22101
2022-01-27,22560,0,0,156986,20453
2022-01-28,24643,0,0,162557,18598
2022-01-29,32812,0,0,225001,17364
2022-01-30,27229,0,0,171989,11731
2022-01-31,31204,0,0,188688,19677
2022-02-01,34526,0,0,183203,18920
2022-02-02,36358,0,0,163334,19207
2022-02-03,37855,0,0,173204,18706
2022-02-04,37046,0,0,181807,18381
2022-02-05,47861,0,0,187469,16811
2022-02-06,33227,0,0,111810,10892
2022-02-07,40275,0,0,156782,19583
2022-02-08,38050,0,0,159870,18458
2022-02-09,35436,0,0,159765,17333
2022-02-10,36267,0,0,149316,17115
2022-02-11,36134,0,1,162824,17375
2022-02-12,40511,0,0,144387,14470
2022-02-13,25890,0,0,87888,9006
2022-02-14,23173,0,0,117226,13769
2022-02-15,30447,0,2,142289,13839
2022-02-16,29682,0,0,157486,14721
2022-02-17,30917,0,0,159136,14498
2022-02-18,32372,0,1,172275,14746
2022-02-19,37567,0,0,197353,12426
2022-02-20,30868,0,0,140927,8736
2022-02-21,29545,0,0,183478,13354
2022-02-22,28790,0,0,194456,14040
2022-02-23,27568,0,0,177144,13898
2022-02-24,23964,0,0,176119,12039
2022-02-25,22050,0,0,186676,12031
2022-02-26,25659,0,0,172596,9366
2022-02-27,21001,0,0,115090,6659
2022-02-28,24360,0,0,172032,12161
2022-03-01,13425,0,1,150652,10771
2022-03-02,12916,0,0,156126,10862
2022-03-03,11791,0,0,155039,10819
2022-03-04,11505,0,0,166711,10901
2022-03-05,21662,0,1,173320,9245
2022-03-06,20066,0,0,98291,5906
2022-03-07,20499,0,0,127279,10725
2022-03-08,19778,0,0,111371,9983
2022-03-09,24267,0,1,118080,9772
2022-03-10,25913,0,0,119853,10425
2022-03-11,25606,0,0,129030,10038
2022-03-12,37578,0,0,145572,9273
2022-03-13,33193,0,0,90915,6872
2022-03-14,27506,0,1,91572,9419
2022-03-15,31917,0,0,86973,9629
2022-03-16,32265,0,0,84078,9446
2022-03-17,35073,0,2,77500,9534
2022-03-18,37508,0,2,89864,9565
2022-03-19,48124,0,0,103762,8673
2022-03-20,41259,0,2,67372,7058
2022-03-21,37412,0,0,62598,9150
2022-03-22,47065,0,0,63984,9718
2022-03-23,47053,0,1,62773,9376
2022-03-24,59983,0,0,64200,9137
2022-03-25,68207,0,1,75393,9469
2022-03-26,102487,0,0,113256,9882
2022-03-27,94619,0,1,82394,7984
2022-03-28,82921,0,2,62712,9142
2022-03-29,83103,0,0,64184,8886
2022-03-30,88286,0,0,63831,8708
2022-03-31,96727,0,1,64657,8342
2022-04-01,108592,0,4,75257,7602
2022-04-02,130384,0,229,104264,8035
2022-04-03,116001,0,920,87754,7779
2022-04-04,77540,0,822,53891,6664
2022-04-05,46308,0,163,38161,5529
2022-04-06,90808,0,2084,70592,8446
2022-04-07,79038,0,3564,74472,7948
2022-04-08,73661,0,3636,84712,8420
2022-04-09,75066,0,4700,106106,7843
2022-04-10,56861,0,2141,89583,6694
2022-04-11,55871,0,9106,82153,7873
2022-04-12,52193,0,9358,89598,7750
2022-04-13,46199,0,12575,100498,7784
2022-04-14,27440,0,2105,56038,4125
2022-04-15,15432,0,1460,37275,2743
2022-04-16,40048,0,4756,87832,6005
2022-04-17,26153,0,2299,63456,4711
2022-04-18,32172,0,12102,87982,7696
2022-04-19,29260,0,12343,90518,7569
2022-04-20,25993,0,13366,93170,7676
2022-04-21,20331,0,13245,100801,7214
2022-04-22,17175,0,13355,118996,7563
2022-04-23,15462,0,8445,143450,7621
2022-04-24,12462,0,4739,117192,6716
2022-04-25,12224,0,7851,112276,7782
2022-04-26,10426,0,9491,118286,7364
2022-04-27,8185,0,10860,117501,7307
2022-04-28,6732,0,11079,114126,7157
2022-04-29,5763,0,12459,120929,6207
2022-04-30,4336,0,12916,129854,5781
2022-05-01,0,0,3968,31986,1358
2022-05-02,0,0,9878,63685,3707
2022-05-03,0,0,11801,75862,5016
2022-05-04,0,0,12149,74909,5319
2022-05-05,0,0,12685,71918,5297
2022-05-06,0,0,17484,63244,4458
2022-05-07,0,0,17085,59207,3149
2022-05-08,0,0,3169,12070,864
2022-05-09,0,0,23684,60525,4359
2022-05-10,0,0,29457,65838,4829
2022-05-11,0,0,27739,64440,4709
2022-05-12,0,0,24921,64563,4625
2022-05-13,0,0,23705,67579,4338
2022-05-14,0,0,25892,71667,4296
2022-05-15,0,0,15984,46706,3058
2022-05-16,0,0,22120,59686,4551
2022-05-17,0,0,23960,60181,4670
2022-05-18,0,0,24906,57666,4296
2022-05-19,0,0,22026,52333,4261
2022-05-20,0,0,20343,50666,3463
2022-05-21,0,0,19483,33978,1863
